Ano,Escola,Cidade,Horário da visita: ,Número de alunos: ,De quais os anos do ensino fundamental são os alunos visitantes?,Número de alunos do ensino fundamental,De quais os anos do ensino médio são os alunos visitantes?,Número de alunos do ensino medio
2023,EE CORA CORALINA,IBIRITÉ,Manhã,80,"6o ano, 7o ano",N/A,3o ano,N/A
2023,EE José Amâncio dos Santos ,Igarapé ,Manhã e Tarde,300,7o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE José de Oliveira,Santana do Garambéu,Manhã e Tarde,97,6o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE LOPES FRANCO,Conselheiro Lafaiete,Manhã e Tarde,42,9o ano,N/A,3o ano,N/A
2023,EE Manoel Antônio de Sousa,Mateus Leme,Manhã e Tarde,97,6o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE JOAQUIM NABUCO,DIVINOPOLIS,Manhã e Tarde,80,6o ano,N/A,3o ano,N/A
2023,EE ANA MENDES PEREIRA DUTRA,São Pedro do Avaí,Manhã e Tarde,90,9o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE Coronel Américo Vespúcio de Carvalho,Alto Caparaó,Manhã e Tarde,50,9o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE Escritora Carolina Maria de Jesus,Sacramento,Tarde,30,9o ano,N/A,2o ano,N/A
2023,EE Hugo Viana Chaves ,Ribeirão das Neves ,Manhã e Tarde,40,6o ano,N/A,3o ano,N/A
2023,EE Serafim Ribeiro de Rezende , Florestal,Manhã,330,9o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EE João Alves dos Santos ,Varzelândia ,Manhã e Tarde,38,9o ano,N/A,"1o ano, 2o ano, 3o ano",N/A
2023,EM Raul Saraiva Ribeiro ,Betim ,Manhã,120,9o ano,N/A,Não levaremos estudantes do ensino médio,N/A
2023,EM Maria Cândida de Jesus,Juatuba,Manhã,42,9o ano,N/A,Não levaremos estudantes do ensino médio,N/A
2023,EE Monsenhor Rodolfo,Ervália,Manhã e Tarde,40,9o ano,N/A,Não levaremos estudantes do ensino médio,N/A
